topology,attack,node,role,is_attacker,detected,latency_s
dfn,ifa,0,router,False,True,1.0
dfn,ifa,1,router,False,False,
dfn,ifa,2,router,False,True,1.0
dfn,ifa,3,router,False,True,1.0
dfn,ifa,4,router,False,False,
dfn,ifa,5,router,False,False,
dfn,ifa,6,consumer,True,True,1.0
dfn,ifa,7,consumer,False,False,
dfn,ifa,8,consumer,False,False,
dfn,ifa,9,consumer,False,False,
dfn,ifa,10,consumer,False,False,
dfn,ifa,11,consumer,False,False,
dfn,cp,0,router,False,True,1.0
dfn,cp,1,router,False,False,
dfn,cp,2,router,False,True,1.0
dfn,cp,3,router,False,True,1.0
dfn,cp,4,router,False,False,
dfn,cp,5,router,False,True,1.0
dfn,cp,6,consumer,True,True,1.0
dfn,cp,7,consumer,False,False,
dfn,cp,8,consumer,False,False,
dfn,cp,9,consumer,False,False,
dfn,cp,10,consumer,False,False,
dfn,cp,11,consumer,True,True,1.0
dumbbell,ifa,0,consumer,True,True,1.0
dumbbell,ifa,1,consumer,False,False,
dumbbell,ifa,2,consumer,False,False,
dumbbell,ifa,3,router,False,True,1.0
dumbbell,ifa,4,router,False,False,
dumbbell,ifa,5,router,False,True,1.0
dumbbell,ifa,6,router,False,True,1.0
dumbbell,ifa,7,router,False,True,1.0
dumbbell,ifa,8,router,False,True,1.0
dumbbell,ifa,9,router,False,False,
dumbbell,cp,0,consumer,True,True,1.0
dumbbell,cp,1,consumer,False,False,
dumbbell,cp,2,consumer,True,True,1.0
dumbbell,cp,3,router,False,True,1.0
dumbbell,cp,4,router,False,False,
dumbbell,cp,5,router,False,True,1.0
dumbbell,cp,6,router,False,True,1.0
dumbbell,cp,7,router,False,True,1.0
dumbbell,cp,8,router,False,True,1.0
dumbbell,cp,9,router,False,False,
tree,ifa,0,router,False,True,1.0
tree,ifa,1,router,False,False,
tree,ifa,2,router,False,True,1.0
tree,ifa,3,router,False,True,1.0
tree,ifa,4,router,False,False,
tree,ifa,5,router,False,False,
tree,ifa,6,consumer,True,True,1.0
tree,ifa,7,consumer,False,False,
tree,ifa,8,consumer,False,False,
tree,ifa,9,consumer,False,False,
tree,ifa,10,consumer,False,False,
tree,ifa,11,consumer,False,False,
tree,cp,0,router,False,True,1.0
tree,cp,1,router,False,False,
tree,cp,2,router,False,True,1.0
tree,cp,3,router,False,True,1.0
tree,cp,4,router,False,False,
tree,cp,5,router,False,True,1.0
tree,cp,6,consumer,True,True,1.0
tree,cp,7,consumer,False,False,
tree,cp,8,consumer,False,False,
tree,cp,9,consumer,False,False,
tree,cp,10,consumer,False,False,
tree,cp,11,consumer,True,True,1.0
