topo,attack,rate,detection,benign_fpr
tree,ifa,10,100.0,0.0
tree,ifa,12,100.0,0.0
tree,ifa,15,100.0,0.0
tree,ifa,20,100.0,0.0
tree,ifa,30,100.0,0.0
tree,ifa,50,100.0,0.0
tree,ifa,100,100.0,0.0
tree,cp,10,65.9,0.0
tree,cp,12,67.3,0.0
tree,cp,15,89.9,0.0
tree,cp,20,100.0,0.0
tree,cp,30,100.0,0.0
tree,cp,50,100.0,0.0
tree,cp,100,100.0,0.0
dfn,ifa,10,100.0,0.0
dfn,ifa,12,100.0,0.0
dfn,ifa,15,100.0,0.0
dfn,ifa,20,100.0,0.0
dfn,ifa,30,100.0,0.0
dfn,ifa,50,100.0,0.0
dfn,ifa,100,100.0,0.0
dfn,cp,10,65.9,0.0
dfn,cp,12,67.3,0.0
dfn,cp,15,89.9,0.0
dfn,cp,20,100.0,0.0
dfn,cp,30,100.0,0.0
dfn,cp,50,100.0,0.0
dfn,cp,100,100.0,0.0
dumbbell,ifa,10,100.0,0.0
dumbbell,ifa,12,100.0,0.0
dumbbell,ifa,15,100.0,0.0
dumbbell,ifa,20,100.0,0.0
dumbbell,ifa,30,100.0,0.0
dumbbell,ifa,50,100.0,0.0
dumbbell,ifa,100,100.0,0.0
dumbbell,cp,10,67.3,0.0
dumbbell,cp,12,72.8,0.0
dumbbell,cp,15,92.5,0.0
dumbbell,cp,20,100.0,0.0
dumbbell,cp,30,100.0,0.0
dumbbell,cp,50,100.0,0.0
dumbbell,cp,100,100.0,0.0
