topology,attack,node,role,is_attacker,det_rate_global,det_rate_pertopo
dfn,ifa,0,router,False,1.0,1.0
dfn,ifa,1,router,False,0.0,0.0
dfn,ifa,2,router,False,1.0,1.0
dfn,ifa,3,router,False,1.0,1.0
dfn,ifa,4,router,False,0.0,0.0
dfn,ifa,5,router,False,0.0,0.0
dfn,ifa,6,consumer,True,1.0,1.0
dfn,ifa,7,consumer,False,0.0,0.0
dfn,ifa,8,consumer,False,0.0,0.0
dfn,ifa,9,consumer,False,0.0,0.0
dfn,ifa,10,consumer,False,0.0,0.0
dfn,ifa,11,consumer,False,0.0,0.0
dfn,cp,0,router,False,1.0,1.0
dfn,cp,1,router,False,0.0,0.0
dfn,cp,2,router,False,1.0,1.0
dfn,cp,3,router,False,1.0,1.0
dfn,cp,4,router,False,0.0,0.0
dfn,cp,5,router,False,1.0,1.0
dfn,cp,6,consumer,True,1.0,1.0
dfn,cp,7,consumer,False,0.0,0.0
dfn,cp,8,consumer,False,0.0,0.0
dfn,cp,9,consumer,False,0.0,0.0
dfn,cp,10,consumer,False,0.0,0.0
dfn,cp,11,consumer,True,1.0,1.0
dumbbell,ifa,0,consumer,True,1.0,0.0
dumbbell,ifa,1,consumer,False,0.0,0.0
dumbbell,ifa,2,consumer,False,0.0,0.0
dumbbell,ifa,3,router,False,1.0,0.0
dumbbell,ifa,4,router,False,0.0,0.0
dumbbell,ifa,5,router,False,1.0,0.0
dumbbell,ifa,6,router,False,1.0,0.0
dumbbell,ifa,7,router,False,1.0,0.0
dumbbell,ifa,8,router,False,1.0,0.0
dumbbell,ifa,9,router,False,0.0,0.0
dumbbell,cp,0,consumer,True,1.0,1.0
dumbbell,cp,1,consumer,False,0.0,0.0
dumbbell,cp,2,consumer,True,1.0,1.0
dumbbell,cp,3,router,False,1.0,1.0
dumbbell,cp,4,router,False,0.0,0.0
dumbbell,cp,5,router,False,1.0,1.0
dumbbell,cp,6,router,False,1.0,1.0
dumbbell,cp,7,router,False,1.0,1.0
dumbbell,cp,8,router,False,1.0,1.0
dumbbell,cp,9,router,False,0.0,0.0
tree,ifa,0,router,False,1.0,1.0
tree,ifa,1,router,False,0.0,0.003
tree,ifa,2,router,False,1.0,1.0
tree,ifa,3,router,False,1.0,1.0
tree,ifa,4,router,False,0.0,0.0
tree,ifa,5,router,False,0.0,0.0
tree,ifa,6,consumer,True,1.0,1.0
tree,ifa,7,consumer,False,0.0,0.0
tree,ifa,8,consumer,False,0.0,0.0
tree,ifa,9,consumer,False,0.0,0.0
tree,ifa,10,consumer,False,0.0,0.0
tree,ifa,11,consumer,False,0.0,0.0
tree,cp,0,router,False,1.0,1.0
tree,cp,1,router,False,0.0,0.0
tree,cp,2,router,False,1.0,1.0
tree,cp,3,router,False,1.0,1.0
tree,cp,4,router,False,0.0,0.0
tree,cp,5,router,False,1.0,1.0
tree,cp,6,consumer,True,1.0,1.0
tree,cp,7,consumer,False,0.0,0.0
tree,cp,8,consumer,False,0.0,0.0
tree,cp,9,consumer,False,0.0,0.0
tree,cp,10,consumer,False,0.0,0.0
tree,cp,11,consumer,True,1.0,1.0
