topology,attack,node,role_gt,hop_dist,on_path,mean_score,det_rate
dfn,ifa,0,producer,3,True,79.6,1.0
dfn,ifa,1,producer,3,True,41.8,0.0
dfn,ifa,2,on_path_router,2,True,79.6,1.0
dfn,ifa,3,on_path_router,1,True,79.6,1.0
dfn,ifa,4,off_path_router,2,False,36.7,0.0
dfn,ifa,5,off_path_router,2,False,35.7,0.0
dfn,ifa,6,attacker,0,True,78.4,1.0
dfn,ifa,7,benign_consumer,2,False,3.4,0.0
dfn,ifa,8,benign_consumer,3,False,2.0,0.0
dfn,ifa,9,benign_consumer,3,False,1.2,0.0
dfn,ifa,10,benign_consumer,3,False,1.2,0.0
dfn,ifa,11,benign_consumer,3,False,1.7,0.0
dfn,cp,0,producer,3,True,100.0,1.0
dfn,cp,1,producer,3,True,26.5,0.0
dfn,cp,2,on_path_router,2,True,100.0,1.0
dfn,cp,3,on_path_router,1,True,100.0,1.0
dfn,cp,4,off_path_router,2,False,36.7,0.0
dfn,cp,5,on_path_router,1,True,100.0,1.0
dfn,cp,6,attacker,0,True,100.0,1.0
dfn,cp,7,benign_consumer,2,False,3.4,0.0
dfn,cp,8,benign_consumer,3,False,2.0,0.0
dfn,cp,9,benign_consumer,3,False,1.2,0.0
dfn,cp,10,benign_consumer,2,False,1.2,0.0
dfn,cp,11,attacker,0,True,100.0,1.0
dumbbell,ifa,0,attacker,0,True,78.4,1.0
dumbbell,ifa,1,benign_consumer,2,False,3.4,0.0
dumbbell,ifa,2,benign_consumer,2,False,2.0,0.0
dumbbell,ifa,3,producer,5,True,79.6,1.0
dumbbell,ifa,4,producer,6,True,41.8,0.0
dumbbell,ifa,5,on_path_router,1,True,79.6,1.0
dumbbell,ifa,6,on_path_router,2,True,79.6,1.0
dumbbell,ifa,7,on_path_router,3,True,79.6,1.0
dumbbell,ifa,8,on_path_router,4,True,79.6,1.0
dumbbell,ifa,9,on_path_router,5,True,41.8,0.0
dumbbell,cp,0,attacker,0,True,100.0,1.0
dumbbell,cp,1,benign_consumer,2,False,3.4,0.0
dumbbell,cp,2,attacker,0,True,100.0,1.0
dumbbell,cp,3,producer,5,True,100.0,1.0
dumbbell,cp,4,producer,6,True,26.4,0.0
dumbbell,cp,5,on_path_router,1,True,100.0,1.0
dumbbell,cp,6,on_path_router,2,True,100.0,1.0
dumbbell,cp,7,on_path_router,3,True,100.0,1.0
dumbbell,cp,8,on_path_router,4,True,100.0,1.0
dumbbell,cp,9,on_path_router,5,True,27.9,0.0
tree,ifa,0,producer,3,True,79.6,1.0
tree,ifa,1,producer,3,True,41.8,0.0
tree,ifa,2,on_path_router,2,True,79.6,1.0
tree,ifa,3,on_path_router,1,True,79.6,1.0
tree,ifa,4,off_path_router,3,False,36.7,0.0
tree,ifa,5,off_path_router,2,False,35.7,0.0
tree,ifa,6,attacker,0,True,78.4,1.0
tree,ifa,7,benign_consumer,2,False,3.4,0.0
tree,ifa,8,benign_consumer,4,False,2.0,0.0
tree,ifa,9,benign_consumer,4,False,1.2,0.0
tree,ifa,10,benign_consumer,3,False,1.2,0.0
tree,ifa,11,benign_consumer,3,False,1.7,0.0
tree,cp,0,producer,3,True,100.0,1.0
tree,cp,1,producer,3,True,29.1,0.0
tree,cp,2,on_path_router,2,True,100.0,1.0
tree,cp,3,on_path_router,1,True,100.0,1.0
tree,cp,4,on_path_router,2,True,36.7,0.0
tree,cp,5,on_path_router,1,True,100.0,1.0
tree,cp,6,attacker,0,True,100.0,1.0
tree,cp,7,benign_consumer,2,False,3.4,0.0
tree,cp,8,benign_consumer,3,False,2.0,0.0
tree,cp,9,benign_consumer,3,False,1.2,0.0
tree,cp,10,benign_consumer,2,False,1.2,0.0
tree,cp,11,attacker,0,True,100.0,1.0
