topology,scenario,rate,run,Node,role,InInterests_pre,OutInterests_pre,InData_pre,cache_hit_ratio_pre,satisfaction_ratio_pre,timeout_ratio_pre,nack_ratio_pre,interest_amp_pre,data_ratio_pre,InInterests_atk,OutInterests_atk,InData_atk,cache_hit_ratio_atk,satisfaction_ratio_atk,timeout_ratio_atk,nack_ratio_atk,interest_amp_atk,data_ratio_atk
dfn,cp,10.0,1,0,router,0.3333333708796625,0.3333333708796625,0.3333333708796625,0.0,1.0,0.8033333333333333,0.0,1.0,1.0,26.89247491638796,26.89247491638796,26.89247491638796,0.0,1.0,0.0019101288173297552,0.0,1.0,1.0
dfn,cp,10.0,1,1,router,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dfn,cp,10.0,1,2,router,1.000000034557344,0.3333333708796625,0.3333333708796625,0.10563532907344322,0.015332161046034892,0.6866666666666666,0.0,0.0151457510444125,1.0,27.593959173913042,26.89247491638796,26.89247491638796,0.088927103746845,0.9325263581079746,0.0003529816830379724,0.0,0.9317014584123466,1.0
dfn,cp,10.0,1,3,router,0.6666667239542999,0.3333333000123751,0.3333333000123751,0.12652811954127743,0.05589016849282635,0.6087984986062609,0.0,0.055669524525168664,1.0,13.917303478260868,13.870480568561874,13.870480568561874,0.009658580413297395,0.9929576736776757,0.0007195885385015353,0.0,0.9927992677483658,1.0
dfn,cp,10.0,1,4,router,0.6666667126708652,0.3333334231080107,0.3333334231080107,0.11692847892847893,0.08708605327868278,0.576667106153205,0.0,0.08677108417449789,1.0,3.6418198290593655e-96,1.8909405551839756e-174,1.8909405551839756e-174,0.0,1.0,1.0,0.0,3.7869018387886765e-79,0.7290969899665551
dfn,cp,10.0,1,5,router,0.6666666243578683,0.3333333114369584,0.3333333114369584,0.1221493043993044,0.07684571952371344,0.4284046933337204,0.0,0.076454151057957,1.0,13.770301414715721,13.72347860535117,13.72347860535117,0.008547938595465439,0.9924965046618076,0.0006656122772684356,0.0,0.992363178566232,1.0
dfn,cp,10.0,1,6,attacker,9.988333299999999,0.3299999651950502,0.3333333318617169,0.9654545454545455,0.03420383870500584,0.0013333333333333335,0.0,0.034133879054547664,1.0,20.03338793812709,13.917515050167225,13.917303478260868,0.5020997118823206,0.6023547605845939,0.0009242946292765307,0.0,0.5666213557606682,0.8190164898440027
dfn,cp,10.0,1,7,benign_consumer,9.988333299999999,0.33000009209258313,0.33333339209258317,0.9654915824915825,0.03443217718717723,0.0013333333333333335,0.0,0.03399185383337538,1.0,10.0,3.663259602378636e-154,3.663259602378636e-154,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.6632596023786362e-155,0.8260869565217391
dfn,cp,10.0,1,8,benign_consumer,9.988333299999999,0.3300000210726942,0.3333333544060276,0.9654545454545455,0.034173868138920364,0.0013333333333333335,0.0,0.03410391182185552,1.0,10.0,4.100320664717012e-131,4.100320664717012e-131,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,4.1003206647170124e-132,0.9364548494983278
dfn,cp,10.0,1,9,benign_consumer,9.988333299999999,0.329999991598171,0.3333333582648377,0.9655286195286196,0.03430494239804996,0.0013333333333333335,0.0,0.03386461237722141,1.0,10.0,3.6418198290593655e-96,3.6418198290593655e-96,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.6418198290593657e-97,1.0
dfn,cp,10.0,1,10,benign_consumer,9.988333299999999,0.3299999856652093,0.333333352331876,0.9654545454545455,0.03412081029804248,0.0013333333333333335,0.0,0.0340508506475843,1.0,10.0,1.909360831137492e-109,1.909360831137492e-109,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,1.9093608311374923e-110,1.0
dfn,cp,10.0,1,11,attacker,9.988333299999999,0.32999993869265887,0.3333332720259922,0.9655286195286196,0.0343572956346876,0.0013333333333333335,0.0,0.033916968947252386,1.0,20.03338793812709,13.770516086956523,13.770301414715721,0.5130711679624723,0.5938400916516927,0.0009242946292765307,0.0,0.5562660284263329,0.8179397714605968
dfn,cp,10.0,2,0,router,0.3333333486083269,0.3333333486083269,0.3333333486083269,0.0,1.0,0.8033333333333333,0.0,1.0,1.0,26.82451652173913,26.82451652173913,26.82451652173913,0.0,1.0,0.001870915544555664,0.0,1.0,1.0
dfn,cp,10.0,2,1,router,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0033444816053511705,0.0033444816053511705,0.0033444816053511705,0.0,0.8662207357859532,0.7993311036789298,0.0,1.0,0.8662207357859532
dfn,cp,10.0,2,2,router,1.000000104347435,0.3333333486083269,0.3333333486083269,0.10669312169312169,0.017333096703877983,0.6866666666666666,0.0,0.017161143378801605,1.0,27.62384664214047,26.827861003344484,26.827861003344484,0.09982301271501894,0.920171591466357,0.0003446454966735748,0.0,0.918536277495811,1.0
dfn,cp,10.0,2,3,router,0.6666665120714237,0.3333333879684622,0.3333333879684622,0.11428860028860029,0.05511574739613342,0.6600000000000323,0.0,0.05459525113376252,1.0,13.857130280936454,13.810308006688963,13.810308006688963,0.011964484790571748,0.9915413783589939,0.0006505993063020191,0.0,0.9913905676887851,1.0
dfn,cp,10.0,2,4,router,0.6666664818332589,0.3333332672447449,0.3333332672447449,0.11170804780015307,0.06707661848256287,0.6261196718646783,0.0,0.06587916756767506,1.0,8.59899652879976e-146,7.563754515053059e-176,7.563754515053059e-176,0.0,0.8662207357859532,0.8662207357859532,0.0,0.13377926421404682,0.7224080267558528
dfn,cp,10.0,2,5,router,0.6666667541030673,0.33333344913422774,0.33333344913422774,0.12144358092887506,0.092893370562294,0.46466624644163357,0.0,0.09289339191707988,1.0,13.867050056856188,13.813538635451504,13.810193819397993,0.016618888358018793,0.9876413864896163,0.0006793838093469761,0.0,0.9876320915673391,0.9998661828846593
dfn,cp,10.0,2,6,attacker,9.988333299999999,0.33000000581679534,0.3333333058167953,0.9654915824915825,0.03448122780394101,0.0013333333333333335,0.0,0.03404090445013916,1.0,20.03338793812709,13.857343578595318,13.857130280936454,0.5033158870115392,0.592675921104638,0.0009242946292765307,0.0,0.5625262188599274,0.817795485708245
