topo,attack,rate,detection,benign_fpr
tree,ifa,1,61.0,0.8
tree,ifa,2,99.9,0.8
tree,ifa,4,100.0,0.8
tree,ifa,6,100.0,0.8
tree,ifa,8,100.0,0.8
tree,ifa,10,100.0,0.8
tree,ifa,12,100.0,0.8
tree,ifa,15,100.0,0.8
tree,ifa,20,100.0,0.8
tree,ifa,30,100.0,0.8
tree,ifa,50,100.0,0.8
tree,ifa,100,100.0,0.9
tree,cp,10,21.4,0.9
tree,cp,12,24.1,0.9
tree,cp,15,31.4,0.9
tree,cp,20,41.5,0.9
tree,cp,30,60.2,0.9
tree,cp,35,70.8,1.0
tree,cp,40,82.5,0.9
tree,cp,45,91.6,1.0
tree,cp,50,100.0,0.8
tree,cp,100,100.0,0.8
dfn,ifa,1,61.0,0.8
dfn,ifa,2,99.9,0.8
dfn,ifa,4,100.0,0.8
dfn,ifa,6,100.0,0.8
dfn,ifa,8,100.0,0.8
dfn,ifa,10,100.0,0.8
dfn,ifa,12,100.0,0.8
dfn,ifa,15,100.0,0.8
dfn,ifa,20,100.0,0.8
dfn,ifa,30,100.0,0.8
dfn,ifa,50,100.0,0.8
dfn,ifa,100,100.0,0.8
dfn,cp,10,21.4,0.9
dfn,cp,12,24.1,0.9
dfn,cp,15,31.4,0.9
dfn,cp,20,41.5,0.9
dfn,cp,30,60.2,0.9
dfn,cp,35,70.5,1.0
dfn,cp,40,82.5,0.9
dfn,cp,45,91.6,1.0
dfn,cp,50,100.0,0.8
dfn,cp,100,100.0,0.8
dumbbell,ifa,1,58.7,2.0
dumbbell,ifa,2,99.5,2.0
dumbbell,ifa,4,100.0,2.0
dumbbell,ifa,6,100.0,2.0
dumbbell,ifa,8,100.0,2.0
dumbbell,ifa,10,100.0,2.0
dumbbell,ifa,12,100.0,2.0
dumbbell,ifa,15,100.0,2.0
dumbbell,ifa,20,100.0,2.0
dumbbell,ifa,30,100.0,2.0
dumbbell,ifa,50,100.0,1.8
dumbbell,ifa,100,100.0,1.8
dumbbell,cp,10,21.5,2.0
dumbbell,cp,12,24.5,2.1
dumbbell,cp,15,31.5,2.2
dumbbell,cp,20,41.5,2.1
dumbbell,cp,30,60.6,2.1
dumbbell,cp,35,71.9,2.2
dumbbell,cp,40,82.3,2.1
dumbbell,cp,45,91.6,2.1
dumbbell,cp,50,100.0,2.0
dumbbell,cp,100,100.0,1.7
